Child Object,Lookup Field API Name,Lookup Field Label,Parent Object (Inferred),Is Custom Field,Is Required,Is Nillable,Migration Priority,Notes
Off_Net__c,CreatedById,Created By ID,User (System),No,Yes,No,HIGH,MUST have value on initial load
Off_Net__c,LastModifiedById,Last Modified By ID,User (System),No,Yes,No,HIGH,MUST have value on initial load
Off_Net__c,OwnerId,Owner ID,User,No,Yes,No,HIGH,MUST have value on initial load
Off_Net__c,AA_Location__c,AA Location,Location__c,Yes,No,Yes,MEDIUM,Can be populated later
Off_Net__c,Service_Order_Line__c,Service Order Line,Service_Order_Line__c,Yes,No,Yes,MEDIUM,Can be populated later
Off_Net__c,Service__c,Service,Service__c,Yes,No,Yes,MEDIUM,Can be populated later
Off_Net__c,ZZ_Location__c,ZZ Location,Location__c,Yes,No,Yes,MEDIUM,Can be populated later
Opportunity,CreatedById,Created By ID,User (System),No,Yes,No,HIGH,MUST have value on initial load
Opportunity,LastModifiedById,Last Modified By ID,User (System),No,Yes,No,HIGH,MUST have value on initial load
Opportunity,OwnerId,Owner ID,User,No,Yes,No,HIGH,MUST have value on initial load
Opportunity,Agency__c,Master Agent,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
Opportunity,BAN__c,Billing Account Number,BAN__c,Yes,No,Yes,MEDIUM,Can be populated later
Opportunity,Business_Partner__c,Business Partner,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
Opportunity,Contract_Management_Approved_By__c,Contract Management Approved By,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
Opportunity,ISP_Engineering_Approved_By__c,ISP Engineering Approved By,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
Opportunity,OSP_Engineering_Approved_By__c,OSP Engineering Approved By,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
Opportunity,Operations_Approved_By__c,Operations Approved By,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
Opportunity,Opportunity_Engineering_Contact__c,Engineering Contact,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
Opportunity,Opportunity_Main_Contact__c,Primary Contact,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
Opportunity,Opportunity_Maintenance_Contact__c,Maintenance Contact,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
Opportunity,Owner_at_Close__c,Owner at Close,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
Opportunity,Quote__c,Quote,Quote,Yes,No,Yes,MEDIUM,Can be populated later
Opportunity,Related_Opportunity__c,Related Opportunity,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
Opportunity,Sales_Engineer__c,Sales Engineer,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
Opportunity,Service_Delivery_Approved_By__c,Service Delivery Approved By,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
Opportunity,Service_Delivery_Coordinator__c,Service Delivery Coordinator,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
Opportunity,Service_Order_Contact__c,Service Order Contact,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
Opportunity,Sub_Agent__c,Sub Agent,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
Opportunity,TeamMember__c,Team Member Name,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
Opportunity,AccountId,Account ID,Account,No,No,Yes,LOW,Can be populated later
Opportunity,CampaignId,Campaign ID,Campaign,No,No,Yes,LOW,Can be populated later
Opportunity,ContactId,Contact ID,Contact,No,No,Yes,LOW,Can be populated later
Opportunity,ContractId,Contract ID,Unknown,No,No,Yes,LOW,Can be populated later
Opportunity,LastAmountChangedHistoryId,Opportunity History ID,Unknown,No,No,Yes,LOW,Can be populated later
Opportunity,LastCloseDateChangedHistoryId,Opportunity History ID,Unknown,No,No,Yes,LOW,Can be populated later
Opportunity,Pricebook2Id,Price Book ID,Pricebook2,No,No,Yes,LOW,Can be populated later
Opportunity,RecordTypeId,Record Type ID,RecordType,No,No,Yes,LOW,Can be populated later
Opportunity,SyncedQuoteId,Quote ID,Unknown,No,No,Yes,LOW,Can be populated later
Opportunity_Site__c,Opportunity__c,Opportunity,Opportunity,Yes,Yes,No,CRITICAL,MUST have value on initial load
Opportunity_Site__c,CreatedById,Created By ID,User (System),No,Yes,No,HIGH,MUST have value on initial load
Opportunity_Site__c,LastModifiedById,Last Modified By ID,User (System),No,Yes,No,HIGH,MUST have value on initial load
Opportunity_Site__c,A_Node__c,(dep) A Node,Node__c,Yes,No,Yes,MEDIUM,Can be populated later
Opportunity_Site__c,Alternate_Local_Contact__c,(dep) AA LOC Alternate Local Contact,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
Opportunity_Site__c,Loc_A__c,AA Location,Location__c,Yes,No,Yes,MEDIUM,Can be populated later
Opportunity_Site__c,Local_Contact__c,A LOC Local Contact,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
Opportunity_Site__c,Parent_Service__c,Parent Service,Service__c,Yes,No,Yes,MEDIUM,Can be populated later
Opportunity_Site__c,Provider__c,Provider,Account,Yes,No,Yes,MEDIUM,Can be populated later
Opportunity_Site__c,Service__c,Service,Service__c,Yes,No,Yes,MEDIUM,Can be populated later
Opportunity_Site__c,Site__c,ZZ Location,Location__c,Yes,No,Yes,MEDIUM,Can be populated later
Opportunity_Site__c,ZZ_LOC_Alternate_Local_Contact__c,(dep) ZZ LOC Alternate Local Contact,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
Opportunity_Site__c,ZZ_LOC_Local_Contact__c,Z LOC Local Contact,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
Opportunity_Site__c,Z_Node__c,(dep) Z Node,Node__c,Yes,No,Yes,MEDIUM,Can be populated later
Opportunity_Site__c,aLoc__c,A Location,Location__c,Yes,No,Yes,MEDIUM,Can be populated later
Opportunity_Site__c,aNode__c,A Node,Node__c,Yes,No,Yes,MEDIUM,Can be populated later
Opportunity_Site__c,zLoc__c,Z Location,Location__c,Yes,No,Yes,MEDIUM,Can be populated later
Opportunity_Site__c,zNode__c,Z Node,Node__c,Yes,No,Yes,MEDIUM,Can be populated later
Opportunity_Site__c,RecordTypeId,Record Type ID,RecordType,No,No,Yes,LOW,Can be populated later
Optional_Products__c,CreatedById,Created By ID,User (System),No,Yes,No,HIGH,MUST have value on initial load
Optional_Products__c,LastModifiedById,Last Modified By ID,User (System),No,Yes,No,HIGH,MUST have value on initial load
Optional_Products__c,OwnerId,Owner ID,User,No,Yes,No,HIGH,MUST have value on initial load
Optional_Products__c,Product__c,Product,Product2,Yes,No,Yes,MEDIUM,Can be populated later
Optional_Products__c,Service_Category__c,Service Category,Service_Category__c,Yes,No,Yes,MEDIUM,Can be populated later
Pricebook2,CreatedById,Created By ID,User (System),No,Yes,No,HIGH,MUST have value on initial load
